,VX3-VX1
2018-09-10 22:41:00,1427.33168
2018-09-10 22:42:00,1427.33168
2018-09-10 22:43:00,1427.33168
2018-09-10 22:44:00,1427.33168
2018-09-10 22:45:00,1427.33168
2018-09-10 22:46:00,1427.33168
2018-09-10 22:47:00,1427.33168
2018-09-10 22:48:00,1427.33168
2018-09-10 22:49:00,1427.33168
2018-09-10 22:50:00,1427.33168
2018-09-10 22:51:00,1427.33168
2018-09-10 22:52:00,1427.33168
2018-09-10 22:53:00,1427.33168
2018-09-10 22:54:00,1427.33168
2018-09-10 22:55:00,1427.33168
2018-09-10 22:56:00,1427.33168
2018-09-10 22:57:00,1427.33168
2018-09-10 22:58:00,1427.33168
2018-09-10 22:59:00,1427.33168
2018-09-10 23:00:00,1427.33168
2018-09-10 23:01:00,1427.33168
2018-09-10 23:02:00,1427.33168
2018-09-10 23:03:00,1427.33168
2018-09-10 23:04:00,1427.33168
2018-09-10 23:05:00,1427.33168
2018-09-10 23:06:00,1427.33168
2018-09-10 23:07:00,1427.33168
2018-09-10 23:08:00,1427.33168
2018-09-10 23:09:00,1427.33168
2018-09-10 23:10:00,1427.33168
2018-09-10 23:11:00,1427.33168
2018-09-10 23:12:00,1427.33168
2018-09-10 23:13:00,1427.33168
2018-09-10 23:14:00,1427.33168
2018-09-10 23:15:00,1427.33168
2018-09-10 23:16:00,1427.33168
2018-09-10 23:17:00,1427.33168
2018-09-10 23:18:00,1427.33168
2018-09-10 23:19:00,1427.33168
2018-09-10 23:20:00,1427.33168
2018-09-10 23:21:00,1427.33168
2018-09-10 23:22:00,1427.33168
2018-09-10 23:23:00,1427.33168
2018-09-10 23:24:00,1427.33168
2018-09-10 23:25:00,1427.33168
2018-09-10 23:26:00,1437.09168
2018-09-10 23:27:00,1437.09168
2018-09-10 23:28:00,1437.09168
2018-09-10 23:29:00,1437.09168
2018-09-10 23:30:00,1441.97168
2018-09-10 23:31:00,1437.09168
2018-09-10 23:32:00,1437.09168
2018-09-10 23:33:00,1437.09168
2018-09-10 23:34:00,1437.09168
2018-09-10 23:35:00,1427.33168
2018-09-10 23:36:00,1427.33168
2018-09-10 23:37:00,1427.33168
2018-09-10 23:38:00,1437.09168
2018-09-10 23:39:00,1437.09168
2018-09-10 23:40:00,1437.09168
2018-09-10 23:41:00,1437.09168
2018-09-10 23:42:00,1437.09168
2018-09-10 23:43:00,1437.09168
2018-09-10 23:44:00,1437.09168
2018-09-10 23:45:00,1437.09168
2018-09-10 23:46:00,1437.09168
2018-09-10 23:47:00,1437.09168
2018-09-10 23:48:00,1437.09168
2018-09-10 23:49:00,1437.09168
2018-09-10 23:50:00,1451.73168
2018-09-10 23:51:00,1451.73168
2018-09-10 23:52:00,1466.37168
2018-09-10 23:53:00,1451.73168
2018-09-10 23:54:00,1451.73168
2018-09-10 23:55:00,1451.73168
2018-09-10 23:56:00,1451.73168
2018-09-10 23:57:00,1451.73168
2018-09-10 23:58:00,1451.73168
2018-09-10 23:59:00,1451.73168
2018-09-11 00:00:00,1446.85168
2018-09-11 00:01:00,1446.85168
2018-09-11 00:02:00,1446.85168
2018-09-11 00:03:00,1446.85168
2018-09-11 00:04:00,1446.85168
2018-09-11 00:05:00,1446.85168
2018-09-11 00:06:00,1446.85168
2018-09-11 00:07:00,1446.85168
2018-09-11 00:08:00,1446.85168
