,GBX
2018-07-26 05:41:00,38387.9484246
2018-07-26 05:42:00,38397.2695846
2018-07-26 05:43:00,38392.6090046
2018-07-26 05:44:00,38392.6090046
2018-07-26 05:45:00,38383.2878446
2018-07-26 05:46:00,38383.2878446
2018-07-26 05:47:00,38376.2969746
2018-07-26 05:48:00,38373.9666846
2018-07-26 05:49:00,38369.3061046
2018-07-26 05:50:00,38373.9666846
2018-07-26 05:51:00,38373.9666846
2018-07-26 05:52:00,38373.9666846
2018-07-26 05:53:00,38378.6272646
2018-07-26 05:54:00,38383.2878446
2018-07-26 05:55:00,38373.9666846
2018-07-26 05:56:00,38373.9666846
2018-07-26 05:57:00,38369.3061046
2018-07-26 05:58:00,38373.9666846
2018-07-26 05:59:00,38373.9666846
2018-07-26 06:00:00,38378.6272646
2018-07-26 06:01:00,38383.2878446
2018-07-26 06:02:00,38387.9484246
2018-07-26 06:03:00,38392.6090046
2018-07-26 06:04:00,38399.5998746
2018-07-26 06:05:00,38401.9301646
2018-07-26 06:06:00,38392.6090046
2018-07-26 06:07:00,38394.9392946
2018-07-26 06:08:00,38394.9392946
2018-07-26 06:09:00,38392.6090046
2018-07-26 06:10:00,38392.6090046
2018-07-26 06:11:00,38378.6272646
2018-07-26 06:12:00,38383.2878446
2018-07-26 06:13:00,38378.6272646
2018-07-26 06:14:00,38383.2878446
2018-07-26 06:15:00,38387.9484246
2018-07-26 06:16:00,38397.2695846
2018-07-26 06:17:00,38397.2695846
2018-07-26 06:18:00,38401.9301646
2018-07-26 06:19:00,38401.9301646
2018-07-26 06:20:00,38399.5998746
2018-07-26 06:21:00,38397.2695846
2018-07-26 06:22:00,38401.9301646
2018-07-26 06:23:00,38397.2695846
2018-07-26 06:24:00,38392.6090046
2018-07-26 06:25:00,38392.6090046
2018-07-26 06:26:00,38390.2787146
2018-07-26 06:27:00,38397.2695846
2018-07-26 06:28:00,38397.2695846
2018-07-26 06:29:00,38392.6090046
2018-07-26 06:30:00,38392.6090046
