,OMX
2018-08-07 03:20:00,13275.3805643
2018-08-07 03:21:00,13275.3805643
2018-08-07 03:22:00,13270.0911793
2018-08-07 03:23:00,13275.3805643
2018-08-07 03:24:00,13272.7358718
2018-08-07 03:25:00,13270.0911793
2018-08-07 03:26:00,13262.1571018
2018-08-07 03:27:00,13272.7358718
2018-08-07 03:28:00,13275.3805643
2018-08-07 03:29:00,13275.3805643
2018-08-07 03:30:00,13270.0911793
2018-08-07 03:31:00,13270.0911793
2018-08-07 03:32:00,13275.3805643
2018-08-07 03:33:00,13296.5381043
2018-08-07 03:34:00,13280.6699493
2018-08-07 03:35:00,13280.6699493
2018-08-07 03:36:00,13280.6699493
2018-08-07 03:37:00,13280.6699493
2018-08-07 03:38:00,13280.6699493
2018-08-07 03:39:00,13285.9593343
2018-08-07 03:40:00,13285.9593343
2018-08-07 03:41:00,13285.9593343
2018-08-07 03:42:00,13280.6699493
2018-08-07 03:43:00,13285.9593343
2018-08-07 03:44:00,13285.9593343
2018-08-07 03:45:00,13291.2487193
2018-08-07 03:46:00,13291.2487193
2018-08-07 03:47:00,13291.2487193
2018-08-07 03:48:00,13280.6699493
2018-08-07 03:49:00,13285.9593343
2018-08-07 03:50:00,13285.9593343
2018-08-07 03:51:00,13285.9593343
2018-08-07 03:52:00,13296.5381043
2018-08-07 03:53:00,13296.5381043
2018-08-07 03:54:00,13285.9593343
2018-08-07 03:55:00,13280.6699493
2018-08-07 03:56:00,13280.6699493
2018-08-07 03:57:00,13275.3805643
2018-08-07 03:58:00,13275.3805643
2018-08-07 03:59:00,13270.0911793
2018-08-07 04:00:00,13270.0911793
2018-08-07 04:01:00,13264.8017943
2018-08-07 04:02:00,13275.3805643
2018-08-07 04:03:00,13275.3805643
2018-08-07 04:04:00,13285.9593343
2018-08-07 04:05:00,13285.9593343
2018-08-07 04:06:00,13291.2487193
2018-08-07 04:07:00,13288.6040268
2018-08-07 04:08:00,13275.3805643
2018-08-07 04:09:00,13285.9593343
2018-08-07 04:10:00,13288.6040268
2018-08-07 04:11:00,13291.2487193
2018-08-07 04:12:00,13296.5381043
2018-08-07 04:13:00,13296.5381043
2018-08-07 04:14:00,13285.9593343
2018-08-07 04:15:00,13291.2487193
2018-08-07 04:16:00,13288.6040268
2018-08-07 04:17:00,13285.9593343
2018-08-07 04:18:00,13285.9593343
2018-08-07 04:19:00,13285.9593343
2018-08-07 04:20:00,13280.6699493
2018-08-07 04:21:00,13275.3805643
2018-08-07 04:22:00,13270.0911793
2018-08-07 04:23:00,13270.0911793
2018-08-07 04:24:00,13270.0911793
2018-08-07 04:25:00,13275.3805643
2018-08-07 04:26:00,13267.4464868
2018-08-07 04:27:00,13267.4464868
2018-08-07 04:28:00,13262.1571018
2018-08-07 04:29:00,13259.5124093
2018-08-07 04:30:00,13259.5124093
2018-08-07 04:31:00,13264.8017943
2018-08-07 04:32:00,13267.4464868
2018-08-07 04:33:00,13270.0911793
2018-08-07 04:34:00,13275.3805643
2018-08-07 04:35:00,13264.8017943
2018-08-07 04:36:00,13264.8017943
2018-08-07 04:37:00,13270.0911793
2018-08-07 04:38:00,13275.3805643
2018-08-07 04:39:00,13275.3805643
2018-08-07 04:40:00,13264.8017943
2018-08-07 04:41:00,13270.0911793
2018-08-07 04:42:00,13259.5124093
2018-08-07 04:43:00,13254.2230243
2018-08-07 04:44:00,13248.9336393
2018-08-07 04:45:00,13248.9336393
