,MME
2018-08-16 12:16:00,8618.57611955
2018-08-16 12:17:00,8612.02111955
2018-08-16 12:18:00,8613.11361955
2018-08-16 12:19:00,8631.68611955
2018-08-16 12:20:00,8627.31611955
2018-08-16 12:21:00,8638.24111955
2018-08-16 12:22:00,8646.98111955
2018-08-16 12:23:00,8646.98111955
2018-08-16 12:24:00,8645.88861955
2018-08-16 12:25:00,8644.79611955
2018-08-16 12:26:00,8646.98111955
2018-08-16 12:27:00,8642.61111955
2018-08-16 12:28:00,8637.14861955
2018-08-16 12:29:00,8629.50111955
2018-08-16 12:30:00,8631.68611955
2018-08-16 12:31:00,8630.59361955
2018-08-16 12:32:00,8629.50111955
2018-08-16 12:33:00,8629.50111955
2018-08-16 12:34:00,8630.59361955
2018-08-16 12:35:00,8640.42611955
2018-08-16 12:36:00,8631.68611955
2018-08-16 12:37:00,8633.87111955
2018-08-16 12:38:00,8640.42611955
2018-08-16 12:39:00,8629.50111955
2018-08-16 12:40:00,8629.50111955
2018-08-16 12:41:00,8636.05611955
2018-08-16 12:42:00,8633.87111955
2018-08-16 12:43:00,8637.14861955
2018-08-16 12:44:00,8634.96361955
2018-08-16 12:45:00,8627.31611955
2018-08-16 12:46:00,8627.31611955
2018-08-16 12:47:00,8625.13111955
2018-08-16 12:48:00,8616.39111955
2018-08-16 12:49:00,8606.55861955
2018-08-16 12:50:00,8596.72611955
2018-08-16 12:51:00,8596.72611955
2018-08-16 12:52:00,8601.09611955
2018-08-16 12:53:00,8600.00361955
2018-08-16 12:54:00,8596.72611955
2018-08-16 12:55:00,8601.09611955
2018-08-16 12:56:00,8601.09611955
2018-08-16 12:57:00,8605.46611955
2018-08-16 12:58:00,8616.39111955
2018-08-16 12:59:00,8616.39111955
2018-08-16 13:00:00,8594.54111955
2018-08-16 13:01:00,8592.35611955
2018-08-16 13:02:00,8592.35611955
2018-08-16 13:03:00,8603.28111955
2018-08-16 13:04:00,8612.02111955
2018-08-16 13:05:00,8618.57611955
2018-08-16 13:06:00,8612.02111955
2018-08-16 13:07:00,8625.13111955
2018-08-16 13:08:00,8607.65111955
2018-08-16 13:09:00,8605.46611955
2018-08-16 13:10:00,8602.18861955
2018-08-16 13:11:00,8596.72611955
2018-08-16 13:12:00,8605.46611955
2018-08-16 13:13:00,8596.72611955
2018-08-16 13:14:00,8596.72611955
2018-08-16 13:15:00,8596.72611955
2018-08-16 13:16:00,8597.81861955
2018-08-16 13:17:00,8598.91111955
2018-08-16 13:18:00,8614.20611955
2018-08-16 13:19:00,8609.83611955
2018-08-16 13:20:00,8607.65111955
2018-08-16 13:21:00,8605.46611955
2018-08-16 13:22:00,8607.65111955
2018-08-16 13:23:00,8609.83611955
2018-08-16 13:24:00,8596.72611955
2018-08-16 13:25:00,8605.46611955
2018-08-16 13:26:00,8605.46611955
2018-08-16 13:27:00,8601.09611955
2018-08-16 13:28:00,8598.91111955
2018-08-16 13:29:00,8585.80111955
2018-08-16 13:30:00,8572.69111955
2018-08-16 13:31:00,8566.13611955
2018-08-16 13:32:00,8565.04361955
2018-08-16 13:33:00,8574.87611955
2018-08-16 13:34:00,8574.87611955
2018-08-16 13:35:00,8579.24611955
2018-08-16 13:36:00,8582.52361955
2018-08-16 13:37:00,8583.61611955
