,MX
2018-07-30 03:56:00,25998.5459231
2018-07-30 03:57:00,26001.3741771
2018-07-30 03:58:00,26001.3741771
2018-07-30 03:59:00,25998.5459231
2018-07-30 04:00:00,25999.9600501
2018-07-30 04:01:00,25999.9600501
2018-07-30 04:02:00,25998.5459231
2018-07-30 04:03:00,25992.8894151
2018-07-30 04:04:00,25994.3035421
2018-07-30 04:05:00,26007.0306851
2018-07-30 04:06:00,25998.5459231
2018-07-30 04:07:00,25988.6470341
2018-07-30 04:08:00,25984.4046531
2018-07-30 04:09:00,25977.3340181
2018-07-30 04:10:00,25984.4046531
2018-07-30 04:11:00,25984.4046531
2018-07-30 04:12:00,25987.2329071
2018-07-30 04:13:00,25997.1317961
2018-07-30 04:14:00,26001.3741771
2018-07-30 04:15:00,26001.3741771
2018-07-30 04:16:00,25992.8894151
2018-07-30 04:17:00,25997.1317961
2018-07-30 04:18:00,25998.5459231
2018-07-30 04:19:00,25998.5459231
2018-07-30 04:20:00,26001.3741771
2018-07-30 04:21:00,25999.9600501
2018-07-30 04:22:00,25998.5459231
2018-07-30 04:23:00,25995.7176691
2018-07-30 04:24:00,25994.3035421
2018-07-30 04:25:00,25990.0611611
2018-07-30 04:26:00,25985.8187801
2018-07-30 04:27:00,25987.2329071
2018-07-30 04:28:00,25981.5763991
2018-07-30 04:29:00,25982.9905261
2018-07-30 04:30:00,25981.5763991
2018-07-30 04:31:00,25987.2329071
2018-07-30 04:32:00,25992.8894151
2018-07-30 04:33:00,25999.9600501
2018-07-30 04:34:00,25997.1317961
2018-07-30 04:35:00,25988.6470341
2018-07-30 04:36:00,25991.4752881
2018-07-30 04:37:00,25997.1317961
2018-07-30 04:38:00,25999.9600501
2018-07-30 04:39:00,25994.3035421
2018-07-30 04:40:00,25985.8187801
2018-07-30 04:41:00,25977.3340181
2018-07-30 04:42:00,25970.2633831
2018-07-30 04:43:00,25973.0916371
2018-07-30 04:44:00,25974.5057641
2018-07-30 04:45:00,25970.2633831
2018-07-30 04:46:00,25974.5057641
2018-07-30 04:47:00,25973.0916371
2018-07-30 04:48:00,25981.5763991
2018-07-30 04:49:00,25978.7481451
2018-07-30 04:50:00,25975.9198911
2018-07-30 04:51:00,25978.7481451
2018-07-30 04:52:00,25980.1622721
2018-07-30 04:53:00,25990.0611611
2018-07-30 04:54:00,25997.1317961
2018-07-30 04:55:00,25997.1317961
2018-07-30 04:56:00,26002.7883041
2018-07-30 04:57:00,26005.6165581
2018-07-30 04:58:00,26002.7883041
2018-07-30 04:59:00,26004.2024311
2018-07-30 05:00:00,26005.6165581
2018-07-30 05:01:00,26004.2024311
2018-07-30 05:02:00,26007.0306851
2018-07-30 05:03:00,26007.0306851
2018-07-30 05:04:00,26012.6871931
2018-07-30 05:05:00,26008.4448121
2018-07-30 05:06:00,26009.8589391
2018-07-30 05:07:00,26018.3437011
2018-07-30 05:08:00,26011.2730661
2018-07-30 05:09:00,26004.2024311
2018-07-30 05:10:00,26009.8589391
2018-07-30 05:11:00,26009.8589391
2018-07-30 05:12:00,26007.0306851
2018-07-30 05:13:00,26008.4448121
2018-07-30 05:14:00,26008.4448121
2018-07-30 05:15:00,26015.5154471
2018-07-30 05:16:00,26021.1719551
2018-07-30 05:17:00,26022.5860821
2018-07-30 05:18:00,26021.1719551
2018-07-30 05:19:00,26018.3437011
2018-07-30 05:20:00,26021.1719551
2018-07-30 05:21:00,26019.7578281
2018-07-30 05:22:00,26018.3437011
2018-07-30 05:23:00,26022.5860821
2018-07-30 05:24:00,26018.3437011
2018-07-30 05:25:00,26011.2730661
2018-07-30 05:26:00,26015.5154471
2018-07-30 05:27:00,26014.1013201
2018-07-30 05:28:00,26019.7578281
2018-07-30 05:29:00,26018.3437011
2018-07-30 05:30:00,26022.5860821
2018-07-30 05:31:00,26022.5860821
2018-07-30 05:32:00,26022.5860821
2018-07-30 05:33:00,26022.5860821
2018-07-30 05:34:00,26021.1719551
2018-07-30 05:35:00,26024.0002091
2018-07-30 05:36:00,26021.1719551
2018-07-30 05:37:00,26029.6567171
2018-07-30 05:38:00,26035.3132251
2018-07-30 05:39:00,26026.8284631
2018-07-30 05:40:00,26022.5860821
2018-07-30 05:41:00,26022.5860821
