,OAT
2018-02-27 11:57:00,33537.1398338
2018-02-27 11:58:00,33532.9873198
2018-02-27 11:59:00,33541.2923478
2018-02-28 01:00:00,33541.2923478
2018-02-28 01:01:00,33603.5800578
2018-02-28 01:02:00,33628.4951418
2018-02-28 01:03:00,33620.1901138
2018-02-28 01:04:00,33616.0375998
2018-02-28 01:05:00,33620.1901138
2018-02-28 01:06:00,33603.5800578
2018-02-28 01:07:00,33595.2750298
2018-02-28 01:08:00,33586.9700018
2018-02-28 01:09:00,33586.9700018
2018-02-28 01:10:00,33586.9700018
2018-02-28 01:11:00,33562.0549178
2018-02-28 01:12:00,33553.7498898
2018-02-28 01:13:00,33545.4448618
2018-02-28 01:14:00,33537.1398338
2018-02-28 01:15:00,33532.9873198
2018-02-28 01:16:00,33516.3772638
2018-02-28 01:17:00,33503.9197218
2018-02-28 01:18:00,33516.3772638
2018-02-28 01:19:00,33520.5297778
2018-02-28 01:20:00,33503.9197218
2018-02-28 01:21:00,33516.3772638
2018-02-28 01:22:00,33520.5297778
2018-02-28 01:23:00,33537.1398338
2018-02-28 01:24:00,33528.8348058
2018-02-28 01:25:00,33528.8348058
2018-02-28 01:26:00,33512.2247498
2018-02-28 01:27:00,33512.2247498
2018-02-28 01:28:00,33541.2923478
2018-02-28 01:29:00,33545.4448618
2018-02-28 01:30:00,33562.0549178
2018-02-28 01:31:00,33566.2074318
2018-02-28 01:32:00,33562.0549178
2018-02-28 01:33:00,33566.2074318
2018-02-28 01:34:00,33562.0549178
2018-02-28 01:35:00,33553.7498898
2018-02-28 01:36:00,33549.5973758
2018-02-28 01:37:00,33528.8348058
2018-02-28 01:38:00,33528.8348058
2018-02-28 01:39:00,33545.4448618
2018-02-28 01:40:00,33512.2247498
2018-02-28 01:41:00,33512.2247498
2018-02-28 01:42:00,33516.3772638
2018-02-28 01:43:00,33516.3772638
2018-02-28 01:44:00,33474.8521238
2018-02-28 01:45:00,33516.3772638
2018-02-28 01:46:00,33528.8348058
2018-02-28 01:47:00,33532.9873198
2018-02-28 01:48:00,33516.3772638
2018-02-28 01:49:00,33528.8348058
2018-02-28 01:50:00,33537.1398338
2018-02-28 01:51:00,33528.8348058
2018-02-28 01:52:00,33532.9873198
2018-02-28 01:53:00,33532.9873198
2018-02-28 01:54:00,33528.8348058
2018-02-28 01:55:00,33528.8348058
2018-02-28 01:56:00,33528.8348058
2018-02-28 01:57:00,33537.1398338
2018-02-28 01:58:00,33549.5973758
2018-02-28 01:59:00,33553.7498898
2018-02-28 02:00:00,33582.8174878
2018-02-28 02:01:00,33582.8174878
