,XBT
2018-08-30 11:20:00,-632.39752962
2018-08-30 11:21:00,-632.39752962
2018-08-30 11:22:00,-634.49252962
2018-08-30 11:23:00,-636.58752962
2018-08-30 11:24:00,-638.68252962
2018-08-30 11:25:00,-642.87252962
2018-08-30 11:26:00,-644.96752962
2018-08-30 11:27:00,-640.77752962
2018-08-30 11:28:00,-640.77752962
2018-08-30 11:29:00,-632.39752962
2018-08-30 11:30:00,-640.77752962
2018-08-30 11:31:00,-640.77752962
2018-08-30 11:32:00,-640.77752962
2018-08-30 11:33:00,-642.87252962
2018-08-30 11:34:00,-638.68252962
2018-08-30 11:35:00,-636.58752962
2018-08-30 11:36:00,-640.77752962
2018-08-30 11:37:00,-640.77752962
2018-08-30 11:38:00,-638.68252962
2018-08-30 11:39:00,-638.68252962
2018-08-30 11:40:00,-636.58752962
2018-08-30 11:41:00,-634.49252962
2018-08-30 11:42:00,-630.30252962
2018-08-30 11:43:00,-628.20752962
2018-08-30 11:44:00,-626.11252962
2018-08-30 11:45:00,-624.01752962
2018-08-30 11:46:00,-628.20752962
2018-08-30 11:47:00,-628.20752962
2018-08-30 11:48:00,-630.30252962
2018-08-30 11:49:00,-630.30252962
2018-08-30 11:50:00,-632.39752962
2018-08-30 11:51:00,-636.58752962
2018-08-30 11:52:00,-636.58752962
2018-08-30 11:53:00,-634.49252962
2018-08-30 11:54:00,-632.39752962
2018-08-30 11:55:00,-632.39752962
2018-08-30 11:56:00,-632.39752962
2018-08-30 11:57:00,-632.39752962
2018-08-30 11:58:00,-632.39752962
2018-08-30 11:59:00,-632.39752962
2018-08-30 12:00:00,-630.30252962
2018-08-30 12:01:00,-628.20752962
2018-08-30 12:02:00,-624.01752962
2018-08-30 12:03:00,-624.01752962
2018-08-30 12:04:00,-626.11252962
2018-08-30 12:05:00,-624.01752962
2018-08-30 12:06:00,-621.92252962
2018-08-30 12:07:00,-621.92252962
