,ESX
2018-05-09 09:52:00,22171.2451403
2018-05-09 09:53:00,22180.7914023
2018-05-09 09:54:00,22161.6988783
2018-05-09 09:55:00,22161.6988783
2018-05-09 09:56:00,22161.6988783
2018-05-09 09:57:00,22161.6988783
2018-05-09 09:58:00,22152.1526163
2018-05-09 09:59:00,22152.1526163
2018-05-09 10:00:00,22161.6988783
2018-05-09 10:01:00,22152.1526163
2018-05-09 10:02:00,22161.6988783
2018-05-09 10:03:00,22171.2451403
2018-05-09 10:04:00,22152.1526163
2018-05-09 10:05:00,22152.1526163
2018-05-09 10:06:00,22152.1526163
2018-05-09 10:07:00,22152.1526163
2018-05-09 10:08:00,22152.1526163
2018-05-09 10:09:00,22142.6063543
2018-05-09 10:10:00,22142.6063543
2018-05-09 10:11:00,22142.6063543
2018-05-09 10:12:00,22142.6063543
2018-05-09 10:13:00,22142.6063543
2018-05-09 10:14:00,22133.0600923
2018-05-09 10:15:00,22133.0600923
2018-05-09 10:16:00,22142.6063543
2018-05-09 10:17:00,22152.1526163
2018-05-09 10:18:00,22161.6988783
2018-05-09 10:19:00,22161.6988783
2018-05-09 10:20:00,22161.6988783
2018-05-09 10:21:00,22161.6988783
2018-05-09 10:22:00,22161.6988783
2018-05-09 10:23:00,22180.7914023
2018-05-09 10:24:00,22171.2451403
2018-05-09 10:25:00,22171.2451403
2018-05-09 10:26:00,22180.7914023
2018-05-09 10:27:00,22190.3376643
2018-05-09 10:28:00,22190.3376643
2018-05-09 10:29:00,22199.8839263
2018-05-09 10:30:00,22199.8839263
2018-05-09 10:31:00,22199.8839263
2018-05-09 10:32:00,22190.3376643
2018-05-09 10:33:00,22190.3376643
2018-05-09 10:34:00,22190.3376643
2018-05-09 10:35:00,22190.3376643
2018-05-09 10:36:00,22199.8839263
2018-05-09 10:37:00,22199.8839263
2018-05-09 10:38:00,22190.3376643
2018-05-09 10:39:00,22190.3376643
2018-05-09 10:40:00,22190.3376643
2018-05-09 10:41:00,22190.3376643
2018-05-09 10:42:00,22199.8839263
2018-05-09 10:43:00,22209.4301883
2018-05-09 10:44:00,22209.4301883
2018-05-09 10:45:00,22199.8839263
2018-05-09 10:46:00,22199.8839263
2018-05-09 10:47:00,22190.3376643
2018-05-09 10:48:00,22199.8839263
2018-05-09 10:49:00,22209.4301883
2018-05-09 10:50:00,22199.8839263
2018-05-09 10:51:00,22209.4301883
2018-05-09 10:52:00,22218.9764503
2018-05-09 10:53:00,22218.9764503
2018-05-09 10:54:00,22218.9764503
2018-05-09 10:55:00,22218.9764503
2018-05-09 10:56:00,22228.5227123
2018-05-09 10:57:00,22228.5227123
2018-05-09 10:58:00,22228.5227123
2018-05-09 10:59:00,22228.5227123
2018-05-09 11:00:00,22228.5227123
2018-05-09 11:01:00,22228.5227123
2018-05-09 11:02:00,22238.0689743
2018-05-09 11:03:00,22238.0689743
2018-05-09 11:04:00,22238.0689743
2018-05-09 11:05:00,22238.0689743
2018-05-09 11:06:00,22238.0689743
2018-05-09 11:07:00,22247.6152363
2018-05-09 11:08:00,22257.1614983
2018-05-09 11:09:00,22247.6152363
2018-05-09 11:10:00,22257.1614983
2018-05-09 11:11:00,22257.1614983
2018-05-09 11:12:00,22266.7077603
2018-05-09 11:13:00,22266.7077603
