,BTS
2018-09-11 11:12:00,22686.0881478
2018-09-11 11:13:00,22686.0881478
2018-09-11 11:14:00,22686.0881478
2018-09-11 11:15:00,22686.0881478
2018-09-11 11:16:00,22686.0881478
2018-09-11 11:17:00,22692.3155478
2018-09-11 11:18:00,22692.3155478
2018-09-11 11:19:00,22692.3155478
2018-09-11 11:20:00,22692.3155478
2018-09-11 11:21:00,22686.0881478
2018-09-11 11:22:00,22682.9744478
2018-09-11 11:23:00,22682.9744478
2018-09-11 11:24:00,22676.7470478
2018-09-11 11:25:00,22676.7470478
2018-09-11 11:26:00,22673.6333478
2018-09-11 11:27:00,22679.8607478
2018-09-11 11:28:00,22679.8607478
2018-09-11 11:29:00,22679.8607478
2018-09-11 11:30:00,22679.8607478
2018-09-11 11:31:00,22679.8607478
2018-09-11 11:32:00,22679.8607478
2018-09-11 11:33:00,22679.8607478
2018-09-11 11:34:00,22679.8607478
2018-09-11 11:35:00,22679.8607478
2018-09-11 11:36:00,22679.8607478
2018-09-11 11:37:00,22679.8607478
2018-09-11 11:38:00,22676.7470478
2018-09-11 11:39:00,22673.6333478
2018-09-11 11:40:00,22673.6333478
2018-09-11 11:41:00,22673.6333478
2018-09-11 11:42:00,22676.7470478
2018-09-11 11:43:00,22676.7470478
2018-09-11 11:44:00,22676.7470478
2018-09-11 11:45:00,22673.6333478
2018-09-11 11:46:00,22670.5196478
2018-09-11 11:47:00,22664.2922478
2018-09-11 11:48:00,22661.1785478
2018-09-11 11:49:00,22661.1785478
2018-09-11 11:50:00,22661.1785478
2018-09-11 11:51:00,22661.1785478
2018-09-11 11:52:00,22664.2922478
2018-09-11 11:53:00,22661.1785478
2018-09-11 11:54:00,22664.2922478
2018-09-11 11:55:00,22664.2922478
2018-09-11 11:56:00,22664.2922478
2018-09-11 11:57:00,22664.2922478
2018-09-11 11:58:00,22667.4059478
2018-09-11 11:59:00,22667.4059478
2018-09-12 01:00:00,22667.4059478
2018-09-12 01:01:00,22673.6333478
2018-09-12 01:02:00,22676.7470478
2018-09-12 01:03:00,22648.7237478
2018-09-12 01:04:00,22651.8374478
2018-09-12 01:05:00,22651.8374478
2018-09-12 01:06:00,22651.8374478
2018-09-12 01:07:00,22658.0648478
2018-09-12 01:08:00,22670.5196478
2018-09-12 01:09:00,22676.7470478
2018-09-12 01:10:00,22679.8607478
2018-09-12 01:11:00,22673.6333478
2018-09-12 01:12:00,22673.6333478
2018-09-12 01:13:00,22676.7470478
2018-09-12 01:14:00,22679.8607478
2018-09-12 01:15:00,22679.8607478
2018-09-12 01:16:00,22679.8607478
2018-09-12 01:17:00,22676.7470478
2018-09-12 01:18:00,22679.8607478
2018-09-12 01:19:00,22673.6333478
2018-09-12 01:20:00,22676.7470478
2018-09-12 01:21:00,22673.6333478
2018-09-12 01:22:00,22679.8607478
2018-09-12 01:23:00,22679.8607478
2018-09-12 01:24:00,22679.8607478
2018-09-12 01:25:00,22679.8607478
2018-09-12 01:26:00,22679.8607478
2018-09-12 01:27:00,22686.0881478
2018-09-12 01:28:00,22686.0881478
2018-09-12 01:29:00,22682.9744478
2018-09-12 01:30:00,22686.0881478
2018-09-12 01:31:00,22676.7470478
2018-09-12 01:32:00,22651.8374478
2018-09-12 01:33:00,22654.9511478
2018-09-12 01:34:00,22654.9511478
2018-09-12 01:35:00,22648.7237478
2018-09-12 01:36:00,22642.4963478
2018-09-12 01:37:00,22626.9278478
2018-09-12 01:38:00,22633.1552478
2018-09-12 01:39:00,22626.9278478
2018-09-12 01:40:00,22623.8141478
2018-09-12 01:41:00,22658.0648478
2018-09-12 01:42:00,22651.8374478
2018-09-12 01:43:00,22642.4963478
2018-09-12 01:44:00,22633.1552478
2018-09-12 01:45:00,22623.8141478
2018-09-12 01:46:00,22623.8141478
2018-09-12 01:47:00,22611.3593478
2018-09-12 01:48:00,22617.5867478
2018-09-12 01:49:00,22614.4730478
2018-09-12 01:50:00,22614.4730478
2018-09-12 01:51:00,22617.5867478
2018-09-12 01:52:00,22608.2456478
2018-09-12 01:53:00,22602.0182478
2018-09-12 01:54:00,22592.6771478
2018-09-12 01:55:00,22589.5634478
2018-09-12 01:56:00,22583.3360478
2018-09-12 01:57:00,22555.3127478
2018-09-12 01:58:00,22561.5401478
2018-09-12 01:59:00,22561.5401478
2018-09-12 02:00:00,22573.9949478
2018-09-12 02:01:00,22592.6771478
2018-09-12 02:02:00,22586.4497478
2018-09-12 02:03:00,22586.4497478
2018-09-12 02:04:00,22592.6771478
2018-09-12 02:05:00,22598.9045478
2018-09-12 02:06:00,22592.6771478
2018-09-12 02:07:00,22580.2223478
2018-09-12 02:08:00,22586.4497478
2018-09-12 02:09:00,22592.6771478
2018-09-12 02:10:00,22583.3360478
2018-09-12 02:11:00,22595.7908478
2018-09-12 02:12:00,22577.1086478
2018-09-12 02:13:00,22586.4497478
2018-09-12 02:14:00,22583.3360478
2018-09-12 02:15:00,22573.9949478
2018-09-12 02:16:00,22577.1086478
2018-09-12 02:17:00,22580.2223478
2018-09-12 02:18:00,22589.5634478
2018-09-12 02:19:00,22580.2223478
2018-09-12 02:20:00,22583.3360478
2018-09-12 02:21:00,22583.3360478
2018-09-12 02:22:00,22586.4497478
2018-09-12 02:23:00,22580.2223478
2018-09-12 02:24:00,22580.2223478
2018-09-12 02:25:00,22580.2223478
2018-09-12 02:26:00,22580.2223478
2018-09-12 02:27:00,22589.5634478
2018-09-12 02:28:00,22595.7908478
2018-09-12 02:29:00,22586.4497478
2018-09-12 02:30:00,22595.7908478
2018-09-12 02:31:00,22598.9045478
2018-09-12 02:32:00,22592.6771478
2018-09-12 02:33:00,22592.6771478
2018-09-12 02:34:00,22592.6771478
2018-09-12 02:35:00,22592.6771478
2018-09-12 02:36:00,22592.6771478
2018-09-12 02:37:00,22592.6771478
2018-09-12 02:38:00,22598.9045478
2018-09-12 02:39:00,22602.0182478
2018-09-12 02:40:00,22611.3593478
2018-09-12 02:41:00,22611.3593478
2018-09-12 02:42:00,22611.3593478
2018-09-12 02:43:00,22611.3593478
2018-09-12 02:44:00,22617.5867478
2018-09-12 02:45:00,22617.5867478
2018-09-12 02:46:00,22617.5867478
2018-09-12 02:47:00,22617.5867478
2018-09-12 02:48:00,22636.2689478
2018-09-12 02:49:00,22636.2689478
2018-09-12 02:50:00,22630.0415478
2018-09-12 02:51:00,22630.0415478
2018-09-12 02:52:00,22633.1552478
2018-09-12 02:53:00,22636.2689478
2018-09-12 02:54:00,22630.0415478
2018-09-12 02:55:00,22630.0415478
2018-09-12 02:56:00,22630.0415478
2018-09-12 02:57:00,22630.0415478
2018-09-12 02:58:00,22617.5867478
2018-09-12 02:59:00,22620.7004478
2018-09-12 03:00:00,22611.3593478
2018-09-12 03:01:00,22586.4497478
2018-09-12 03:02:00,22580.2223478
2018-09-12 03:03:00,22586.4497478
2018-09-12 03:04:00,22580.2223478
2018-09-12 03:05:00,22580.2223478
2018-09-12 03:06:00,22580.2223478
2018-09-12 03:07:00,22580.2223478
2018-09-12 03:08:00,22586.4497478
2018-09-12 03:09:00,22586.4497478
2018-09-12 03:10:00,22592.6771478
2018-09-12 03:11:00,22592.6771478
2018-09-12 03:12:00,22592.6771478
2018-09-12 03:13:00,22586.4497478
2018-09-12 03:14:00,22580.2223478
2018-09-12 03:15:00,22586.4497478
2018-09-12 03:16:00,22583.3360478
2018-09-12 03:17:00,22580.2223478
2018-09-12 03:18:00,22580.2223478
2018-09-12 03:19:00,22586.4497478
2018-09-12 03:20:00,22586.4497478
2018-09-12 03:21:00,22592.6771478
2018-09-12 03:22:00,22592.6771478
2018-09-12 03:23:00,22592.6771478
2018-09-12 03:24:00,22592.6771478
2018-09-12 03:25:00,22592.6771478
2018-09-12 03:26:00,22598.9045478
2018-09-12 03:27:00,22605.1319478
2018-09-12 03:28:00,22605.1319478
2018-09-12 03:29:00,22611.3593478
2018-09-12 03:30:00,22608.2456478
2018-09-12 03:31:00,22605.1319478
2018-09-12 03:32:00,22617.5867478
2018-09-12 03:33:00,22623.8141478
2018-09-12 03:34:00,22617.5867478
2018-09-12 03:35:00,22611.3593478
2018-09-12 03:36:00,22611.3593478
2018-09-12 03:37:00,22611.3593478
2018-09-12 03:38:00,22636.2689478
2018-09-12 03:39:00,22623.8141478
2018-09-12 03:40:00,22623.8141478
2018-09-12 03:41:00,22617.5867478
2018-09-12 03:42:00,22630.0415478
2018-09-12 03:43:00,22623.8141478
2018-09-12 03:44:00,22623.8141478
2018-09-12 03:45:00,22636.2689478
2018-09-12 03:46:00,22636.2689478
2018-09-12 03:47:00,22642.4963478
2018-09-12 03:48:00,22642.4963478
2018-09-12 03:49:00,22642.4963478
2018-09-12 03:50:00,22642.4963478
2018-09-12 03:51:00,22648.7237478
2018-09-12 03:52:00,22648.7237478
2018-09-12 03:53:00,22661.1785478
2018-09-12 03:54:00,22673.6333478
2018-09-12 03:55:00,22673.6333478
2018-09-12 03:56:00,22667.4059478
2018-09-12 03:57:00,22686.0881478
2018-09-12 03:58:00,22689.2018478
2018-09-12 03:59:00,22692.3155478
2018-09-12 04:00:00,22701.6566478
2018-09-12 04:01:00,22710.9977478
2018-09-12 04:02:00,22698.5429478
2018-09-12 04:03:00,22704.7703478
2018-09-12 04:04:00,22698.5429478
2018-09-12 04:05:00,22692.3155478
2018-09-12 04:06:00,22686.0881478
2018-09-12 04:07:00,22692.3155478
2018-09-12 04:08:00,22686.0881478
2018-09-12 04:09:00,22676.7470478
2018-09-12 04:10:00,22679.8607478
2018-09-12 04:11:00,22686.0881478
2018-09-12 04:12:00,22689.2018478
2018-09-12 04:13:00,22692.3155478
2018-09-12 04:14:00,22686.0881478
2018-09-12 04:15:00,22698.5429478
2018-09-12 04:16:00,22707.8840478
2018-09-12 04:17:00,22710.9977478
2018-09-12 04:18:00,22710.9977478
2018-09-12 04:19:00,22698.5429478
2018-09-12 04:20:00,22710.9977478
2018-09-12 04:21:00,22710.9977478
2018-09-12 04:22:00,22717.2251478
2018-09-12 04:23:00,22707.8840478
2018-09-12 04:24:00,22710.9977478
2018-09-12 04:25:00,22707.8840478
2018-09-12 04:26:00,22707.8840478
2018-09-12 04:27:00,22707.8840478
2018-09-12 04:28:00,22710.9977478
2018-09-12 04:29:00,22704.7703478
2018-09-12 04:30:00,22701.6566478
2018-09-12 04:31:00,22707.8840478
2018-09-12 04:32:00,22710.9977478
2018-09-12 04:33:00,22704.7703478
2018-09-12 04:34:00,22704.7703478
2018-09-12 04:35:00,22704.7703478
2018-09-12 04:36:00,22704.7703478
2018-09-12 04:37:00,22698.5429478
2018-09-12 04:38:00,22701.6566478
2018-09-12 04:39:00,22704.7703478
2018-09-12 04:40:00,22710.9977478
2018-09-12 04:41:00,22710.9977478
2018-09-12 04:42:00,22710.9977478
2018-09-12 04:43:00,22717.2251478
2018-09-12 04:44:00,22717.2251478
2018-09-12 04:45:00,22717.2251478
2018-09-12 04:46:00,22717.2251478
2018-09-12 04:47:00,22717.2251478
2018-09-12 04:48:00,22723.4525478
2018-09-12 04:49:00,22729.6799478
2018-09-12 04:50:00,22729.6799478
2018-09-12 04:51:00,22723.4525478
2018-09-12 04:52:00,22723.4525478
2018-09-12 04:53:00,22723.4525478
2018-09-12 04:54:00,22717.2251478
2018-09-12 04:55:00,22717.2251478
2018-09-12 04:56:00,22717.2251478
2018-09-12 04:57:00,22717.2251478
2018-09-12 04:58:00,22723.4525478
2018-09-12 04:59:00,22723.4525478
2018-09-12 05:00:00,22723.4525478
2018-09-12 05:01:00,22729.6799478
2018-09-12 05:02:00,22729.6799478
