,RB11
2018-07-23 06:55:00,-2205469.49238
2018-07-23 06:56:00,-2205466.80228
2018-07-23 06:57:00,-2205473.33538
2018-07-23 06:58:00,-2205487.17018
2018-07-23 06:59:00,-2205484.86438
2018-07-23 07:00:00,-2205474.48828
2018-07-23 07:01:00,-2205470.26098
2018-07-23 07:02:00,-2205470.26098
2018-07-23 07:03:00,-2205408.38868
2018-07-23 07:04:00,-2205413.76888
2018-07-23 07:05:00,-2205476.40978
2018-07-23 07:06:00,-2205427.21938
2018-07-23 07:07:00,-2205427.60368
2018-07-23 07:08:00,-2205489.86028
2018-07-23 07:09:00,-2205489.86028
2018-07-23 07:10:00,-2205491.39748
2018-07-23 07:11:00,-2205429.52518
2018-07-23 07:12:00,-2205485.24868
2018-07-23 07:13:00,-2205482.17428
2018-07-23 07:14:00,-2205484.09578
2018-07-23 07:15:00,-2205484.48008
2018-07-23 07:16:00,-2205479.86848
2018-07-23 07:17:00,-2205430.29378
2018-07-23 07:18:00,-2205489.86028
2018-07-23 07:19:00,-2205485.63298
2018-07-23 07:20:00,-2205491.78178
2018-07-23 07:21:00,-2205495.24048
2018-07-23 07:22:00,-2205423.37638
2018-07-23 07:23:00,-2205409.15728
2018-07-23 07:24:00,-2205348.82218
2018-07-23 07:25:00,-2205409.15728
2018-07-23 07:26:00,-2205361.88838
2018-07-23 07:27:00,-2205421.45488
2018-07-23 07:28:00,-2205426.06648
2018-07-23 07:29:00,-2205466.80228
2018-07-23 07:30:00,-2205463.72788
2018-07-23 07:31:00,-2205401.47128
2018-07-23 07:32:00,-2205471.41388
2018-07-23 07:33:00,-2205417.22758
2018-07-23 07:34:00,-2205409.15728
2018-07-23 07:35:00,-2205414.53748
2018-07-23 07:36:00,-2205411.84738
2018-07-23 07:37:00,-2205413.00028
2018-07-23 07:38:00,-2205406.46718
2018-07-23 07:39:00,-2205392.63238
2018-07-23 07:40:00,-2205402.23988
2018-07-23 07:41:00,-2205400.31838
2018-07-23 07:42:00,-2205389.55798
2018-07-23 07:43:00,-2205404.54568
2018-07-23 07:44:00,-2205413.38458
2018-07-23 07:45:00,-2205410.69448
2018-07-23 07:46:00,-2205417.99618
2018-07-23 07:47:00,-2205413.00028
2018-07-23 07:48:00,-2205404.92998
2018-07-23 07:49:00,-2205399.16548
2018-07-23 07:50:00,-2205409.15728
2018-07-23 07:51:00,-2205401.47128
2018-07-23 07:52:00,-2205400.31838
2018-07-23 07:53:00,-2205406.46718
2018-07-23 07:54:00,-2205403.39278
2018-07-23 07:55:00,-2205410.31018
2018-07-23 07:56:00,-2205409.92588
2018-07-23 07:57:00,-2205399.93408
2018-07-23 07:58:00,-2205406.08288
2018-07-23 07:59:00,-2205417.99618
2018-07-23 08:00:00,-2205424.52928
2018-07-23 08:01:00,-2205405.69858
2018-07-23 08:02:00,-2205399.54978
2018-07-23 08:03:00,-2205397.24398
2018-07-23 08:04:00,-2205393.01668
2018-07-23 08:05:00,-2205393.01668
2018-07-23 08:06:00,-2205394.55388
2018-07-23 08:07:00,-2205412.61598
2018-07-23 08:08:00,-2205419.91768
2018-07-23 08:09:00,-2205420.68628
2018-07-23 08:10:00,-2205421.45488
2018-07-23 08:11:00,-2205429.14088
2018-07-23 08:12:00,-2205439.90128
2018-07-23 08:13:00,-2205456.42618
2018-07-23 08:14:00,-2205449.50878
2018-07-23 08:15:00,-2205452.96748
2018-07-23 08:16:00,-2205450.66168
2018-07-23 08:17:00,-2205459.50058
2018-07-23 08:18:00,-2205458.34768
2018-07-23 08:19:00,-2205455.27328
2018-07-23 08:20:00,-2205472.56678
2018-07-23 08:21:00,-2205466.03368
2018-07-23 08:22:00,-2205459.11628
2018-07-23 08:23:00,-2205458.73198
2018-07-23 08:24:00,-2205451.81458
2018-07-23 08:25:00,-2205451.04598
2018-07-23 08:26:00,-2205451.81458
2018-07-23 08:27:00,-2205451.81458
2018-07-23 08:28:00,-2205451.81458
2018-07-23 08:29:00,-2205451.81458
2018-07-23 08:30:00,-2205450.66168
2018-07-23 08:31:00,-2205451.81458
2018-07-23 08:32:00,-2205458.34768
2018-07-23 08:33:00,-2205459.50058
2018-07-23 08:34:00,-2205463.34358
2018-07-23 08:35:00,-2205462.57498
2018-07-23 08:36:00,-2205461.80638
2018-07-23 08:37:00,-2205465.64938
2018-07-23 08:38:00,-2205472.18248
2018-07-23 08:39:00,-2205480.63708
2018-07-23 08:40:00,-2205486.40158
2018-07-23 08:41:00,-2205482.94288
2018-07-23 08:42:00,-2205480.63708
2018-07-23 08:43:00,-2205484.09578
2018-07-23 08:44:00,-2205477.56268
2018-07-23 08:45:00,-2205476.02548
2018-07-23 08:46:00,-2205479.09988
2018-07-23 08:47:00,-2205475.64118
2018-07-23 08:48:00,-2205474.10398
2018-07-23 08:49:00,-2205474.87258
2018-07-23 08:50:00,-2205474.48828
2018-07-23 08:51:00,-2205467.95518
2018-07-23 08:52:00,-2205471.41388
2018-07-23 08:53:00,-2205468.33948
2018-07-23 08:54:00,-2205460.65348
2018-07-23 08:55:00,-2205464.49648
2018-07-23 08:56:00,-2205472.56678
2018-07-23 08:57:00,-2205466.03368
2018-07-23 08:58:00,-2205473.71968
2018-07-23 08:59:00,-2205465.64938
2018-07-23 09:00:00,-2205462.57498
2018-07-23 09:01:00,-2205438.36408
2018-07-23 09:02:00,-2205444.51288
2018-07-23 09:03:00,-2205437.59548
2018-07-23 09:04:00,-2205445.66578
2018-07-23 09:05:00,-2205444.12858
2018-07-23 09:06:00,-2205452.96748
2018-07-23 09:07:00,-2205479.86848
2018-07-23 09:08:00,-2205479.48418
2018-07-23 09:09:00,-2205470.26098
2018-07-23 09:10:00,-2205468.33948
2018-07-23 09:11:00,-2205471.02958
2018-07-23 09:12:00,-2205476.02548
2018-07-23 09:13:00,-2205478.71558
2018-07-23 09:14:00,-2205482.17428
2018-07-23 09:15:00,-2205485.24868
2018-07-23 09:16:00,-2205501.77358
2018-07-23 09:17:00,-2205492.55038
2018-07-23 09:18:00,-2205502.54218
2018-07-23 09:19:00,-2205512.14968
2018-07-23 09:20:00,-2205514.83978
2018-07-23 09:21:00,-2205506.76948
2018-07-23 09:22:00,-2205492.93468
2018-07-23 09:23:00,-2205482.94288
2018-07-23 09:24:00,-2205489.86028
2018-07-23 09:25:00,-2205491.01318
2018-07-23 09:26:00,-2205486.78588
2018-07-23 09:27:00,-2205489.47598
2018-07-23 09:28:00,-2205494.47188
2018-07-23 09:29:00,-2205487.93878
2018-07-23 09:30:00,-2205486.40158
2018-07-23 09:31:00,-2205477.17838
2018-07-23 09:32:00,-2205470.64528
2018-07-23 09:33:00,-2205472.18248
2018-07-23 09:34:00,-2205479.48418
2018-07-23 09:35:00,-2205481.78998
2018-07-23 09:36:00,-2205490.62888
2018-07-23 09:37:00,-2205491.39748
2018-07-23 09:38:00,-2205477.17838
2018-07-23 09:39:00,-2205478.71558
2018-07-23 09:40:00,-2205478.71558
2018-07-23 09:41:00,-2205479.48418
2018-07-23 09:42:00,-2205477.17838
2018-07-23 09:43:00,-2205473.33538
2018-07-23 09:44:00,-2205477.17838
