,CGB
2018-07-16 09:14:00,15722.3303664
2018-07-16 09:15:00,15722.3303664
2018-07-16 09:16:00,15732.7146984
2018-07-16 09:17:00,15743.0990304
2018-07-16 09:18:00,15748.2911964
2018-07-16 09:19:00,15748.2911964
2018-07-16 09:20:00,15753.4833624
2018-07-16 09:21:00,15756.0794454
2018-07-16 09:22:00,15743.0990304
2018-07-16 09:23:00,15743.0990304
2018-07-16 09:24:00,15748.2911964
2018-07-16 09:25:00,15727.5225324
2018-07-16 09:26:00,15732.7146984
2018-07-16 09:27:00,15732.7146984
2018-07-16 09:28:00,15732.7146984
2018-07-16 09:29:00,15737.9068644
2018-07-16 09:30:00,15737.9068644
2018-07-16 09:31:00,15737.9068644
2018-07-16 09:32:00,15737.9068644
2018-07-16 09:33:00,15743.0990304
2018-07-16 09:34:00,15737.9068644
2018-07-16 09:35:00,15732.7146984
2018-07-16 09:36:00,15735.3107814
2018-07-16 09:37:00,15737.9068644
2018-07-16 09:38:00,15748.2911964
2018-07-16 09:39:00,15753.4833624
2018-07-16 09:40:00,15748.2911964
2018-07-16 09:41:00,15758.6755284
2018-07-16 09:42:00,15766.4637774
2018-07-16 09:43:00,15758.6755284
2018-07-16 09:44:00,15748.2911964
2018-07-16 09:45:00,15748.2911964
2018-07-16 09:46:00,15748.2911964
2018-07-16 09:47:00,15743.0990304
2018-07-16 09:48:00,15748.2911964
2018-07-16 09:49:00,15743.0990304
2018-07-16 09:50:00,15748.2911964
2018-07-16 09:51:00,15743.0990304
2018-07-16 09:52:00,15737.9068644
2018-07-16 09:53:00,15748.2911964
2018-07-16 09:54:00,15753.4833624
2018-07-16 09:55:00,15753.4833624
2018-07-16 09:56:00,15756.0794454
2018-07-16 09:57:00,15748.2911964
2018-07-16 09:58:00,15743.0990304
2018-07-16 09:59:00,15743.0990304
2018-07-16 10:00:00,15743.0990304
2018-07-16 10:01:00,15743.0990304
2018-07-16 10:02:00,15753.4833624
2018-07-16 10:03:00,15756.0794454
2018-07-16 10:04:00,15748.2911964
2018-07-16 10:05:00,15737.9068644
2018-07-16 10:06:00,15743.0990304
2018-07-16 10:07:00,15737.9068644
2018-07-16 10:08:00,15748.2911964
2018-07-16 10:09:00,15748.2911964
2018-07-16 10:10:00,15748.2911964
2018-07-16 10:11:00,15748.2911964
2018-07-16 10:12:00,15743.0990304
2018-07-16 10:13:00,15740.5029474
2018-07-16 10:14:00,15748.2911964
2018-07-16 10:15:00,15748.2911964
2018-07-16 10:16:00,15763.8676944
2018-07-16 10:17:00,15763.8676944
2018-07-16 10:18:00,15774.2520264
2018-07-16 10:19:00,15769.0598604
2018-07-16 10:20:00,15769.0598604
2018-07-16 10:21:00,15769.0598604
2018-07-16 10:22:00,15779.4441924
2018-07-16 10:23:00,15784.6363584
2018-07-16 10:24:00,15779.4441924
2018-07-16 10:25:00,15784.6363584
2018-07-16 10:26:00,15784.6363584
2018-07-16 10:27:00,15774.2520264
2018-07-16 10:28:00,15774.2520264
2018-07-16 10:29:00,15779.4441924
2018-07-16 10:30:00,15784.6363584
2018-07-16 10:31:00,15774.2520264
2018-07-16 10:32:00,15779.4441924
2018-07-16 10:33:00,15779.4441924
2018-07-16 10:34:00,15784.6363584
2018-07-16 10:35:00,15789.8285244
2018-07-16 10:36:00,15787.2324414
2018-07-16 10:37:00,15787.2324414
2018-07-16 10:38:00,15789.8285244
2018-07-16 10:39:00,15789.8285244
2018-07-16 10:40:00,15789.8285244
2018-07-16 10:41:00,15795.0206904
2018-07-16 10:42:00,15795.0206904
2018-07-16 10:43:00,15795.0206904
2018-07-16 10:44:00,15795.0206904
2018-07-16 10:45:00,15795.0206904
2018-07-16 10:46:00,15800.2128564
2018-07-16 10:47:00,15800.2128564
2018-07-16 10:48:00,15800.2128564
2018-07-16 10:49:00,15805.4050224
2018-07-16 10:50:00,15805.4050224
2018-07-16 10:51:00,15805.4050224
2018-07-16 10:52:00,15805.4050224
2018-07-16 10:53:00,15805.4050224
2018-07-16 10:54:00,15805.4050224
2018-07-16 10:55:00,15800.2128564
2018-07-16 10:56:00,15800.2128564
2018-07-16 10:57:00,15800.2128564
2018-07-16 10:58:00,15800.2128564
2018-07-16 10:59:00,15800.2128564
2018-07-16 11:00:00,15815.7893544
2018-07-16 11:01:00,15815.7893544
2018-07-16 11:02:00,15820.9815204
2018-07-16 11:03:00,15826.1736864
