,SXF
2018-07-23 07:21:00,18150.1701322
2018-07-23 07:22:00,18150.1701322
2018-07-23 07:23:00,18150.1701322
2018-07-23 07:24:00,18143.0731322
2018-07-23 07:25:00,18143.0731322
2018-07-23 07:26:00,18144.8473822
2018-07-23 07:27:00,18144.8473822
2018-07-23 07:28:00,18143.0731322
2018-07-23 07:29:00,18143.0731322
2018-07-23 07:30:00,18146.6216322
2018-07-23 07:31:00,18148.3958822
2018-07-23 07:32:00,18148.3958822
2018-07-23 07:33:00,18148.3958822
2018-07-23 07:34:00,18148.3958822
2018-07-23 07:35:00,18148.3958822
2018-07-23 07:36:00,18148.3958822
2018-07-23 07:37:00,18148.3958822
2018-07-23 07:38:00,18148.3958822
2018-07-23 07:39:00,18141.2988822
2018-07-23 07:40:00,18139.5246322
2018-07-23 07:41:00,18139.5246322
2018-07-23 07:42:00,18139.5246322
2018-07-23 07:43:00,18139.5246322
2018-07-23 07:44:00,18135.9761322
2018-07-23 07:45:00,18128.8791322
2018-07-23 07:46:00,18128.8791322
2018-07-23 07:47:00,18128.8791322
2018-07-23 07:48:00,18128.8791322
2018-07-23 07:49:00,18135.9761322
2018-07-23 07:50:00,18135.9761322
2018-07-23 07:51:00,18135.9761322
2018-07-23 07:52:00,18135.9761322
2018-07-23 07:53:00,18132.4276322
2018-07-23 07:54:00,18128.8791322
2018-07-23 07:55:00,18130.6533822
2018-07-23 07:56:00,18130.6533822
2018-07-23 07:57:00,18130.6533822
2018-07-23 07:58:00,18127.1048822
2018-07-23 07:59:00,18127.1048822
2018-07-23 08:00:00,18127.1048822
2018-07-23 08:01:00,18128.8791322
2018-07-23 08:02:00,18127.1048822
2018-07-23 08:03:00,18120.0078822
2018-07-23 08:04:00,18125.3306322
2018-07-23 08:05:00,18127.1048822
2018-07-23 08:06:00,18125.3306322
2018-07-23 08:07:00,18125.3306322
2018-07-23 08:08:00,18125.3306322
2018-07-23 08:09:00,18125.3306322
2018-07-23 08:10:00,18125.3306322
2018-07-23 08:11:00,18125.3306322
2018-07-23 08:12:00,18125.3306322
2018-07-23 08:13:00,18125.3306322
2018-07-23 08:14:00,18114.6851322
2018-07-23 08:29:00,18120.0078822
2018-07-23 08:30:00,18096.9426322
2018-07-23 08:31:00,18075.6516322
2018-07-23 08:32:00,18068.5546322
2018-07-23 08:33:00,18056.1348822
2018-07-23 08:34:00,18057.9091322
2018-07-23 08:35:00,18075.6516322
2018-07-23 08:36:00,18073.8773822
2018-07-23 08:37:00,18073.8773822
2018-07-23 08:38:00,18066.7803822
2018-07-23 08:39:00,18082.7486322
2018-07-23 08:40:00,18077.4258822
2018-07-23 08:41:00,18073.8773822
2018-07-23 08:42:00,18077.4258822
2018-07-23 08:43:00,18088.0713822
2018-07-23 08:44:00,18095.1683822
2018-07-23 08:45:00,18105.8138822
2018-07-23 08:46:00,18120.0078822
2018-07-23 08:47:00,18120.0078822
2018-07-23 08:48:00,18116.4593822
